variant;run;score;time_ms;iterations;states
standard;534;23129;58.805;30.0;31
standard;535;23163;67.610;34.0;35
standard;536;23083;35.523;33.0;34
standard;537;23005;42.292;31.0;32
standard;538;23099;45.038;34.0;35
standard;539;23155;38.673;33.0;34
standard;540;23015;60.989;31.0;32
standard;541;23265;44.703;32.0;33
standard;542;23062;58.833;32.0;33
standard;543;23081;36.554;31.0;32
standard;544;22920;55.102;30.0;31
standard;545;23078;31.626;32.0;33
standard;546;23170;61.363;33.0;34
standard;547;23214;60.202;34.0;35
standard;548;23248;38.509;32.0;33
standard;549;23168;53.259;32.0;33
standard;550;23179;59.089;35.0;36
standard;551;23218;61.964;36.0;37
standard;552;22920;57.180;32.0;33
standard;553;23288;45.533;34.0;35
standard;554;23222;45.267;33.0;34
standard;555;23166;46.888;34.0;35
standard;556;23075;57.362;32.0;33
standard;557;23020;62.309;33.0;34
standard;558;23023;62.087;33.0;34
standard;559;23151;61.627;34.0;35
standard;560;23191;42.164;32.0;33
standard;561;23080;35.329;31.0;32
standard;562;23287;63.136;33.0;34
standard;563;23143;59.802;31.0;32
standard;564;23015;56.960;32.0;33
standard;565;22983;40.821;32.0;33
standard;566;23161;41.697;32.0;33
standard;567;23234;88.980;32.0;33
standard;568;23045;57.715;34.0;35
standard;569;23137;44.906;32.0;33
standard;570;23019;66.134;29.0;30
standard;571;23209;35.664;31.0;32
standard;572;22931;84.305;33.0;34
standard;573;23098;34.411;34.0;35
standard;574;23025;61.308;31.0;32
standard;575;23040;31.791;31.0;32
standard;576;23231;58.427;33.0;34
standard;577;23142;34.080;31.0;32
standard;578;23196;60.308;32.0;33
standard;579;23066;40.849;29.0;30
standard;580;23174;58.655;32.0;33
standard;581;23005;59.964;31.0;32
standard;582;23098;58.703;28.0;29
standard;583;23122;39.099;33.0;34
standard;584;23215;45.306;33.0;34
standard;585;22934;42.616;32.0;33
standard;586;23222;57.751;34.0;35
standard;587;23187;41.879;34.0;35
standard;588;23106;62.708;36.0;37
standard;589;23090;62.563;33.0;34
standard;590;23092;61.583;34.0;35
standard;591;23073;43.849;33.0;34
standard;592;23076;39.349;31.0;32
standard;593;22844;57.490;30.0;31
standard;594;23055;62.987;35.0;36
standard;595;22979;58.976;33.0;34
standard;596;23042;48.372;32.0;33
standard;597;22931;55.742;32.0;33
standard;598;23108;43.681;34.0;35
standard;599;23137;61.879;34.0;35
standard;600;23153;43.252;32.0;33
standard;601;22902;81.461;31.0;32
standard;602;23149;39.399;30.0;31
